Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;validaExitoso;Fecha_busqueda;Fecha_ventana;Keywords_gt
CUR-0003341;Workshop Public Speaking for Professional English Settings 201610;16/02/2016;1/12/2015;1;0;0;0;['Aprender idiomas', 'lenguas', 'cursos de preparacion de idiomas', 'estudiar ingles', 'lenguas modernas'];47857.14;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;30/11/2015;4/06/2015;7.82
CUR-0003350;Curso Economía y Finanzas para la Empresa. ¿Cómo emplear Excel para la toma de decisiones?;7/06/2016;1/04/2016;1;0;24;0;['Economía colombiana', 'curso de economía uniandes', 'fundamentos de economía', 'ciencias económicas', 'economía naranja'];72222.22;Actualización Profesional;ECONOMIA;Presencial;1;31/03/2016;4/10/2015;5.16
CUR-0003352;Workshop Creative Writing in English 2016;1/03/2016;1/01/2016;1;0;0;0;['Aprender idiomas', 'lenguas', 'cursos de preparacion de idiomas', 'estudiar ingles', 'lenguas modernas'];45000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/12/2015;5/07/2015;6.33
CUR-0003359;Curso Visual Merchandising y Vitrinismo;26/07/2016;1/05/2016;1;0;42;2;['Cursos de diseño', 'diseño gráfico', 'illustrator', 'photoshop', 'diseño e innovación'];44444.44;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;1;30/04/2016;3/11/2015;7.11
CUR-0003390;Curso Gestión Pública y Derecho Administrativo;30/09/2016;1/07/2016;1;0;89;13;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];55000;Actualización Profesional;DERECHO;Presencial;1;30/06/2016;3/01/2016;5.27
CUR-0003392;Curso Redacción de Contratos y Textos Jurídicos - Tercera promoción;30/08/2016;1/06/2016;1;0;58;13;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];53800;Actualización Profesional;DERECHO;Presencial;1;31/05/2016;4/12/2015;3.22
CUR-0003401;Curso Latinoamericano de Reasentamiento Involuntario - CLAR;20/06/2016;1/04/2016;1;0;24;2;['Cursos de antropología', 'antropología', 'carrera de antropología', 'licenciatura en antropología', 'taller de antropología'];59523.81;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/03/2016;4/10/2015;1.04
CUR-0003476;Taller Cómo desarrollar el pensamiento crítico y otras competencias en estudiantes universitarios;28/10/2016;1/08/2016;1;0;95;14;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];83000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/07/2016;3/02/2016;2.84
CUR-0003642;Curso de Emergencias obstétricas para no obstetras;31/03/2017;1/01/2017;1;0;60;4;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];47619.05;Actualización Profesional;MEDICINA;Presencial;0;31/12/2016;5/07/2016;4.3
CUR-0003644;Curso Aportes de la psicología al posconflicto armado y a la construcción de la paz en Colombia;17/09/2016;1/07/2016;1;0;89;11;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];46000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;30/06/2016;3/01/2016;2.93
CUR-0003647;Curso Mindfulness y la fórmula de la felicidad;22/10/2016;1/08/2016;1;0;95;14;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];55238.1;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;1;31/07/2016;3/02/2016;2.84
CUR-0003648;Taller Coaching Educativo;29/10/2016;1/08/2016;0;0;95;14;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];46875;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/07/2016;3/02/2016;2.84
CUR-0003926;Módulo teórico: Curso de Emergencias obstétricas para no obstetras;31/03/2017;1/01/2017;1;0;60;4;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];50000;Actualización Profesional;MEDICINA;Presencial;1;31/12/2016;5/07/2016;4.3
CUR-0004214;Programa Infantil de Música - Curso Instrumento complementario 2017-10;4/02/2017;1/12/2016;1;1;91;13;['cursos de musica', 'cursos de musica para niños', 'taller de musica.'];10562.5;Niños y Jovenes;ARTES Y HUMANIDADES;Presencial;0;30/11/2016;4/06/2016;3.28
CUR-0004215;Programa Infantil de Música - Taller de Composición 2017-10;4/02/2017;1/12/2016;1;1;91;13;['cursos de musica', 'cursos de musica para niños', 'taller de musica.'];26562.5;Niños y Jovenes;ARTES Y HUMANIDADES;Presencial;0;30/11/2016;4/06/2016;3.28
CUR-0004230;Curso La comedia y la risa: un recorrido histórico y literario;25/02/2017;1/12/2016;1;0;91;13;['cursos de arte', 'talleres de arte', 'historia del arte'];38095.24;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/11/2016;4/06/2016;6.97
CUR-0004238;Taller de fundamentos de dibujo;11/02/2017;1/12/2016;0;0;91;13;['cursos de arte', 'talleres de arte', 'cursos artisticos.'];31250;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/11/2016;4/06/2016;5.15
CUR-0004242;Taller Arte y meditación;4/03/2017;1/01/2017;1;0;60;9;['cursos de arte', 'talleres de arte', 'cursos artisticos.'];33333.33;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/12/2016;5/07/2016;4.69
CUR-0004245;Curso Habilidades sociales: fuente de autoconocimiento y convivencia;4/03/2017;1/01/2017;0;0;60;17;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];50000;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;1;31/12/2016;5/07/2016;6.02
CUR-0004246;Curso Infancia y adolescencia en el conflicto armado: desafíos para la evaluación y la intervención clínica;25/03/2017;1/01/2017;1;0;60;17;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];50000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;0;31/12/2016;5/07/2016;6.02
CUR-0004247;Curso Integrated Project Delivery y Building Information Modeling (BIM);21/04/2017;1/02/2017;0;0;54;4;['curso de ingenieria civil', 'cursos de ingenieria', 'cursos de gestion de proyectos'];76470.59;Actualización Profesional;INGENIERIA;Presencial;1;31/01/2017;5/08/2016;2.84
CUR-0004261;Programa profesionales®  Conflicto y posconflicto: habilidades para la intervención en crisis desde la salud mental;11/03/2017;1/01/2017;1;0;60;4;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];40000;Actualización Profesional;MEDICINA;Presencial;0;31/12/2016;5/07/2016;1.78
CUR-0004262;Curso Gestión del Riesgo en Organizaciones de Salud;5/08/2017;1/06/2017;0;0;62;6;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];41666.67;Actualización Profesional;MEDICINA;Presencial;0;31/05/2017;3/12/2016;2.99
CUR-0004268;Curso Habilidades de comunicación científica:  Publicación y revisión de artículos científicos de investigación biomédica y salud;25/03/2017;1/01/2017;1;0;60;4;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];76666.67;Actualización Profesional;MEDICINA;Presencial;0;31/12/2016;5/07/2016;4.3
CUR-0004276;Curso Economía de los recursos naturales y del medio ambiente: aplicaciones y política;16/05/2017;1/03/2017;0;0;54;2;['cursos de economia', 'cursos de economia con certificado', 'diplomados de economia'];55000;Actualización Profesional;ECONOMIA;Presencial;0;28/02/2017;2/09/2016;2.59
CUR-0004277;Curso Técnicas en Evaluación de Impacto;2/05/2017;1/03/2017;1;0;54;2;['cursos de economia', 'cursos de economia con certificado', 'diplomados de economia'];55000;Actualización Profesional;ECONOMIA;Presencial;0;28/02/2017;2/09/2016;2.59
CUR-0004278;Curso Arte, patrimonio y conservación;22/04/2017;1/02/2017;1;0;54;9;['cursos de arte', 'talleres de arte', 'cursos artisticos.'];38000;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/01/2017;5/08/2016;4.38
CUR-0004280;Taller de Escritura: Métodos y prácticas para la elaboración de textos escritos en español;22/04/2017;1/02/2017;0;0;54;9;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];38214.29;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/01/2017;5/08/2016;2.35
CUR-0004640;Taller de experimentos espectaculares para niños: tecnología espacial;6/05/2017;1/03/2017;1;0;54;3;['ciencia para niños', 'proyectos de ciencia para niños', 'experimientos de ciencia'];49333.33;Niños y Jovenes;CIENCIAS;Presencial;1;28/02/2017;2/09/2016;2.28
CUR-0004660;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital;5/05/2017;1/03/2017;1;0;54;12;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];29566.67;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;28/02/2017;2/09/2016;2.44
CUR-0004661;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 1: Herramientas fundamentales en la expresión escrita y la planeación de historias;5/05/2017;1/03/2017;1;0;54;12;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];43000;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;28/02/2017;2/09/2016;2.44
CUR-0004662;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 2: El arte de presentar en PowerPoint, KeyNote y Prezi;12/05/2017;1/03/2017;1;0;54;12;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];43000;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;28/02/2017;2/09/2016;2.44
CUR-0004663;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 3: Escritura periodística en la era digital;19/05/2017;1/03/2017;1;0;54;12;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];37650;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;28/02/2017;2/09/2016;2.44
CUR-0004664;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 4: Webscrituras y la creación de marca personal;2/06/2017;1/04/2017;1;0;52;11;['taller de escritura', 'diplomado de periodismo', 'periodismo escrito.'];37650;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;31/03/2017;3/10/2016;2.08
CUR-0004665;Curso Liderazgo: fundamento, nutriente e impulsor de la transformación personal y organizacional;29/04/2017;1/02/2017;1;0;54;14;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];50000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/01/2017;5/08/2016;5.27
CUR-0004666;Taller La atención plena: el camino para desarrollar su potencial creativo;6/05/2017;1/03/2017;1;0;54;14;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];50000;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;1;28/02/2017;2/09/2016;5.21
CUR-0004667;Taller Coaching educativo;20/05/2017;1/03/2017;0;0;54;14;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];51562.5;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;28/02/2017;2/09/2016;5.21
CUR-0004673;Cuarto campamento de verano. Las TIC como base tecnológica para la ciudad del futuro;20/06/2017;1/04/2017;1;1;52;7;['cursos de ingenieria de sistemas', 'cursos de TIC', 'cursos de sistemas'];20833.33;Niños y Jóvenes;INGENIERIA;Presencial;0;31/03/2017;3/10/2016;8.03
CUR-0004683;Curso Atención psicológica a personas LGBT y parejas del mismo sexo;13/05/2017;1/03/2017;1;0;54;14;['cursos de psicologia', 'talleres de psicologia', 'diplomados de psicologia'];50000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;0;28/02/2017;2/09/2016;5.21
CUR-0004685;Curso de Soporte Vital Cardiovascular Avanzado para Proveedores experimentados - ACLS EP;23/03/2017;1/01/2017;0;0;60;4;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];118750;Actualización Profesional;MEDICINA;Presencial;0;31/12/2016;5/07/2016;4.3
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;0;1;54;1;['programa de alto gobierno', 'escuela de gobierno', 'cursos de gobierno'];220000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;0;31/01/2017;5/08/2016;2.25
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;0;1;54;1;['programa de alto gobierno', 'escuela de gobierno', 'cursos de gobierno'];220000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;0;31/01/2017;5/08/2016;2.25
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;0;1;54;1;['programa de alto gobierno', 'escuela de gobierno', 'cursos de gobierno'];220000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;0;31/01/2017;5/08/2016;2.25
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;0;1;54;1;['programa de alto gobierno', 'escuela de gobierno', 'cursos de gobierno'];220000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;0;31/01/2017;5/08/2016;2.25
CUR-0004695;Curso Vestir la revolución: cambio social e historia del traje en el siglo XIX;22/07/2017;1/05/2017;1;0;50;11;['cursos de arte', 'talleres de arte', 'historia del arte'];38000;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/04/2017;2/11/2016;5.98
CUR-0004696;Curso Fotografía básica: convertir lo ordinario en extraordinario;3/06/2017;1/04/2017;0;0;52;11;['cursos de arte', 'talleres de arte', 'cursos artisticos.'];41000;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/03/2017;3/10/2016;4.21
CUR-0004697;Programa Beca Liderazgo x Bogotá 2017;21/04/2017;1/02/2017;1;1;54;1;['programa de alto gobierno', 'escuela de gobierno', 'cursos de gobierno'];6000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;1;31/01/2017;5/08/2016;2.25
CUR-0004698;Programa Conoce y aprende. Escuela de ciencias y artes.;10/07/2017;1/05/2017;1;1;50;1;['ciencia para niños', 'proyectos de ciencia para niños', 'experimientos de ciencia'];38000;Niños y Jóvenes;CIENCIAS;Presencial;1;30/04/2017;2/11/2016;2.47
CUR-0004717;Escuela de verano para jóvenes 2017;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004718;"Escuela de verano para jóvenes 2017 -	Administración + Contaduría + Economía A / Ingeniería B";20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004719;Escuela de verano para jóvenes 2017- Administración + Contaduría + Economía A / Ciencias + Medicina;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004719;Escuela de verano para jóvenes 2017- Administración + Contaduría + Economía A / Ciencias + Medicina;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004720;Escuela de verano para jóvenes 2017 - Administración + Contaduría + Economía A / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004721;"Escuela de verano para jóvenes 2017 -	Ciencias Sociales / Ingeniería B";20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004722;Escuela de verano para jóvenes 2017- Ciencias Sociales / Ciencias + Medicina;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004723;Escuela de verano para jóvenes 2017 - Ciencias Sociales / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004724;Escuela de verano para jóvenes 2017 - Ciencias Sociales / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004725;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Ingeniería B;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004840;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Ciencias + Medicina;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004841;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004842;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004843;Escuela de verano para jóvenes 2017- Ingeniería A / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;1;31/03/2017;3/10/2016;3.86
CUR-0004844;Escuela de verano para jóvenes 2017- Ingeniería A / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004845;"Escuela de verano para jóvenes 2017- 	Ingeniería A / Ciencias + Medicina";20/06/2017;1/04/2017;1;1;52;0;['escuela de verano uniandes', 'escuela de verano EDCO'];28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;0;31/03/2017;3/10/2016;3.86
CUR-0004847;Cómo Publicar en Revistas Indexadas (ISI y SCOPUS) de Ciencias Sociales: Criterios, retos y habilidades;5/05/2017;1/03/2017;1;0;54;0;['cursos para docentes', 'cursos de pedagogia', 'diplomado de pedagogia'];112500;Actualización Profesional;EDUCACION;Presencial;1;28/02/2017;2/09/2016;4.2
CUR-0004849;Taller de acuarela: transparencias, tintas y gouache;19/08/2017;1/06/2017;1;0;62;15;['cursos de arte', 'talleres de arte', 'cursos artisticos.'];52000;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/05/2017;3/12/2016;3.95
CUR-0004850;Curso Música para el cine: un viaje a la luna;19/09/2017;1/07/2017;1;0;89;18;['musica en el cine', 'cursos de musica', 'taller de musica.'];38000;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/06/2017;2/01/2017;3.41
CUR-0004852;Curso Apreciación del arte;12/08/2017;1/06/2017;0;0;62;15;['cursos de arte', 'talleres de arte', 'historia del arte'];32857.14;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/05/2017;3/12/2016;4.49
CUR-0004854;Curso Actualización en los procesos de la posproducción audiovisual;10/10/2017;1/08/2017;1;0;100;20;['curso de postproduccion audiovisual', 'musica en el cine', 'taller de musica'];35500;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;0;31/07/2017;2/02/2017;4.69
CUR-0004856;Curso Indicadores y medición en la gestión de proyectos, las políticas sociales y el desempeño organizacional;28/09/2017;1/07/2017;0;0;89;1;['curso gestion de proyectos', 'que es gestion de proyectos', 'gestion de proyectos'];70562.5;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;1;30/06/2017;2/01/2017;5.41
CUR-0004858;Diseño de Cursos en Modalidad Mixta o Blended;25/09/2017;1/07/2017;1;0;89;4;['cursos para docentes', 'cursos de pedagogia', 'diplomado de pedagogia'];56250;Actualización Profesional;EDUCACION;Semipresencial / Blended;1;30/06/2017;2/01/2017;3.51
CUR-0004859;Direccionamiento estratégico de tecnologías digitales para educación superior;14/07/2017;1/05/2017;1;0;50;0;['cursos para docentes', 'cursos de pedagogia', 'diplomado de pedagogia'];56250;Actualización Profesional;EDUCACION;Semipresencial / Blended;1;30/04/2017;2/11/2016;3.56
CUR-0004867;Curso de Soporte Vital Avanzado BLS-ACLS (Basic Life Support - Advanced Cardiac Life Support);29/04/2017;1/02/2017;1;0;54;4;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];60785;Actualización Profesional;MEDICINA;Presencial;0;31/01/2017;5/08/2016;4.18
CUR-0004868;Otorrinolaringología:  Medicina basada en la evidencia - no otorrinos;25/08/2017;1/06/2017;1;0;62;6;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];53076.92;Actualización Profesional;MEDICINA;Presencial;1;31/05/2017;3/12/2016;2.99
CUR-0004869;Módulo teórico: Otorrinolaringología:  Medicina basada en la evidencia;25/08/2017;1/06/2017;1;0;62;6;['cursos de musica', 'cursos de musica para niños', 'taller de musica.'];30555.56;Actualización Profesional;MEDICINA;Presencial;1;31/05/2017;3/12/2016;3.76
CUR-0004872;Curso de Modelación de la calidad del agua en ríos;22/06/2017;1/04/2017;0;0;52;7;['curso de ingenieria civil', 'cursos de ingenieria', 'cursos de gestion de proyectos'];69300;Actualización Profesional;INGENIERIA;Presencial;1;31/03/2017;3/10/2016;2.82
CUR-0004873;Curso de Modelación de la calidad del agua en ríos: determinantes convencionales;22/06/2017;1/04/2017;0;0;52;7;['curso de ingenieria civil', 'cursos de ingenieria', 'cursos de gestion de proyectos'];77000;Actualización Profesional;INGENIERIA;Presencial;1;31/03/2017;3/10/2016;2.82
CUR-0004876;Curso Módulo de formación docente (Grupo 1);6/06/2017;1/04/2017;1;0;52;0;['cursos para docentes', 'cursos de pedagogia', 'diplomado de pedagogia'];89375;Corporativo;EDUCACION;Presencial;1;31/03/2017;3/10/2016;4.42
CUR-0004877;Curso Módulo de formación docente (Grupo 2);12/06/2017;1/04/2017;1;0;52;0;['cursos para docentes', 'cursos de pedagogia', 'diplomado de pedagogia'];89375;Corporativo;EDUCACION;Presencial;1;31/03/2017;3/10/2016;2.82
CUR-0004878;Curso Módulo de formación docente (Grupo 3);1/08/2017;1/06/2017;1;0;62;1;['cursos de medicina', 'talleres de facultad de medicina', 'curso de emergencias'];89375;Corporativo;EDUCACION;Presencial;1;31/05/2017;3/12/2016;1.96
CUR-0004883;Programa infantil y juvenil de formación musical 2017-20;5/08/2017;1/06/2017;1;1;62;15;['cursos de musica', 'cursos de musica para niños', 'taller de musica.'];25625;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;0;31/05/2017;3/12/2016;4.75
