Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;Estado;Valor_Tarifa;Departamento;Estado;Punto_equilibrio;Meta;Cupomaximo;Inscritos;Cantidadinscritostotales;validaExitoso
CUR-0004214;Programa Infantil de Música - Curso Instrumento complementario 2017-10;4/02/2017;1/12/2016;Si;Si;91;13;cursos de musica, cursos de musica para niños, taller de musica.;10562.50;Niños y Jovenes;ARTES Y HUMANIDADES;Presencial;Finalizado;845000.00;Artes y Humanidades;Finalizado;50;50;50;12;12;0
CUR-0004215;Programa Infantil de Música - Taller de Composición 2017-10;4/02/2017;1/12/2016;Si;Si;91;13;cursos de musica, cursos de musica para niños, taller de musica.;26562.50;Niños y Jovenes;ARTES Y HUMANIDADES;Presencial;Finalizado;425000.00;Artes y Humanidades;Finalizado;15;15;15;NULL;0;0
CUR-0004230;Curso La comedia y la risa: un recorrido histórico y literario;25/02/2017;1/12/2016;Si;No;91;13;cursos de arte, talleres de arte, historia del arte;38095.24;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;800000.00;Humanidades y Literatura;Finalizado;9;15;20;7;7;0
CUR-0004238;Taller de fundamentos de dibujo;11/02/2017;1/12/2016;No;No;91;13;cursos de arte, talleres de arte, cursos artisticos.;31250.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1000000.00;Arte;Finalizado;10;15;20;9;9;0
CUR-0004242;Taller Arte y meditación;4/03/2017;1/01/2017;Si;No;60;9;cursos de arte, talleres de arte, cursos artisticos.;33333.33;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;500000.00;Arte;Finalizado;12;15;15;16;16;1
CUR-0004245;Curso Habilidades sociales: fuente de autoconocimiento y convivencia;4/03/2017;1/01/2017;No;No;60;17;cursos de psicologia, talleres de psicologia, diplomados de psicologia;50000.00;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;Finalizado;1500000.00;Psicología;Finalizado;11;20;25;15;15;1
CUR-0004246;Curso Infancia y adolescencia en el conflicto armado: desafíos para la evaluación y la intervención clínica;25/03/2017;1/01/2017;Si;No;60;17;cursos de psicologia, talleres de psicologia, diplomados de psicologia;50000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1500000.00;Psicología;Finalizado;12;20;30;10;10;0
CUR-0004247;Curso Integrated Project Delivery y Building Information Modeling (BIM);21/04/2017;1/02/2017;No;No;54;4;curso de ingenieria civil, cursos de ingenieria, cursos de gestion de proyectos;76470.59;Actualización Profesional;INGENIERIA;Presencial;Finalizado;3900000.00;Ingeniería Civil y Ambiental;Finalizado;7;25;35;11;11;1
CUR-0004261;Programa profesionales®  Conflicto y posconflicto: habilidades para la intervención en crisis desde la salud mental;11/03/2017;1/01/2017;Si;No;60;4;taller de escritura, diplomado de periodismo, periodismo escrito.;40000.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;4000000.00;Medicina;Finalizado;21;30;30;16;16;0
CUR-0004262;Curso Gestión del Riesgo en Organizaciones de Salud;5/08/2017;1/06/2017;No;No;62;6;cursos de medicina, talleres de facultad de medicina, curso de emergencias;41666.67;Actualización Profesional;MEDICINA;Presencial;Finalizado;2500000.00;Medicina;Finalizado;14;30;30;10;10;0
CUR-0004268;Curso Habilidades de comunicación científica:  Publicación y revisión de artículos científicos de investigación biomédica y salud;25/03/2017;1/01/2017;Si;No;60;4;cursos de medicina, talleres de facultad de medicina, curso de emergencias;76666.67;Actualización Profesional;MEDICINA;Presencial;Finalizado;2300000.00;Medicina;Finalizado;14;20;26;8;8;0
CUR-0004276;Curso Economía de los recursos naturales y del medio ambiente: aplicaciones y política;16/05/2017;1/03/2017;No;No;54;2;cursos de economia, cursos de economia con certificado, diplomados de economia;55000.00;Actualización Profesional;ECONOMIA;Presencial;Finalizado;2530000.00;Economía;Finalizado;11;15;25;7;7;0
CUR-0004277;Curso Técnicas en Evaluación de Impacto;2/05/2017;1/03/2017;Si;No;54;2;cursos de economia, cursos de economia con certificado, diplomados de economia;55000.00;Actualización Profesional;ECONOMIA;Presencial;Finalizado;2750000.00;Economía;Finalizado;11;15;25;8;8;0
CUR-0004278;Curso Arte, patrimonio y conservación;22/04/2017;1/02/2017;Si;No;54;9;cursos de arte, talleres de arte, cursos artisticos.;38000.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;760000.00;Arte;Finalizado;12;15;20;13;13;1
CUR-0004280;Taller de Escritura: Métodos y prácticas para la elaboración de textos escritos en español;22/04/2017;1/02/2017;No;No;54;9;taller de escritura, diplomado de periodismo, periodismo escrito.;38214.29;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1070000.00;Humanidades y Literatura;Finalizado;11;15;20;16;16;1
CUR-0004640;Taller de experimentos espectaculares para niños: tecnología espacial;6/05/2017;1/03/2017;Si;No;54;3;ciencia para niños, proyectos de ciencia para niños, experimientos de ciencia;49333.33;Niños y Jovenes;CIENCIAS;Presencial;Finalizado;444000.00;Ciencias;Finalizado;11;20;20;19;19;1
CUR-0004660;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital;5/05/2017;1/03/2017;Si;No;54;12;taller de escritura, diplomado de periodismo, periodismo escrito.;29566.67;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;1774000.00;Centro de Estudios en Periodismo (Ceper);Finalizado;15;18;20;8;8;0
CUR-0004661;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 1: Herramientas fundamentales en la expresión escrita y la planeación de historias;5/05/2017;1/03/2017;Si;No;54;12;taller de escritura, diplomado de periodismo, periodismo escrito.;43000.00;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;430000.00;Centro de Estudios en Periodismo (Ceper);Finalizado;15;18;20;1;9;0
CUR-0004662;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 2: El arte de presentar en PowerPoint, KeyNote y Prezi;12/05/2017;1/03/2017;Si;No;54;12;taller de escritura, diplomado de periodismo, periodismo escrito.;43000.00;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;430000.00;Centro de Estudios en Periodismo (Ceper);Finalizado;17;20;25;3;11;0
CUR-0004663;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 3: Escritura periodística en la era digital;19/05/2017;1/03/2017;Si;No;54;12;taller de escritura, diplomado de periodismo, periodismo escrito.;37650.00;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;753000.00;Centro de Estudios en Periodismo (Ceper);Finalizado;13;20;25;1;9;0
CUR-0004664;Curso-taller e-escritura periodística e-comunicación efectiva en la era digital - Módulo 4: Webscrituras y la creación de marca personal;2/06/2017;1/04/2017;Si;No;52;11;taller de escritura, diplomado de periodismo, periodismo escrito.;37650.00;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;753000.00;Centro de Estudios en Periodismo (Ceper);Finalizado;17;20;25;5;13;0
CUR-0004665;Curso Liderazgo: fundamento, nutriente e impulsor de la transformación personal y organizacional;29/04/2017;1/02/2017;Si;No;54;14;cursos de psicologia, talleres de psicologia, diplomados de psicologia;50000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1800000.00;Psicología;Finalizado;11;20;25;17;17;1
CUR-0004666;Taller La atención plena: el camino para desarrollar su potencial creativo;6/05/2017;1/03/2017;Si;No;54;14;cursos de psicologia, talleres de psicologia, diplomados de psicologia;50000.00;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;Finalizado;1250000.00;Psicología;Finalizado;12;20;25;12;12;1
CUR-0004667;Taller Coaching educativo;20/05/2017;1/03/2017;No;No;54;14;cursos de psicologia, talleres de psicologia, diplomados de psicologia;51562.50;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1650000.00;Psicología;Finalizado;13;20;25;13;13;1
CUR-0004673;Cuarto campamento de verano. Las TIC como base tecnológica para la ciudad del futuro;20/06/2017;1/04/2017;Si;Si;52;7;cursos de ingenieria de sistemas, cursos de TIC, cursos de sistemas;20833.33;Niños y Jóvenes;INGENIERIA;Presencial;Finalizado;1500000.00;Ingeniería de Sistemas y Computación;Finalizado;23;30;30;17;17;0
CUR-0004683;Curso Atención psicológica a personas LGBT y parejas del mismo sexo;13/05/2017;1/03/2017;Si;No;54;14;cursos de psicologia, talleres de psicologia, diplomados de psicologia;50000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1250000.00;Psicología;Finalizado;12;20;25;11;11;0
CUR-0004685;Curso de Soporte Vital Cardiovascular Avanzado para Proveedores experimentados - ACLS EP;23/03/2017;1/01/2017;No;No;60;4;cursos de medicina, talleres de facultad de medicina, curso de emergencias;118750.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;950000.00;Medicina;Finalizado;6;10;10;5;5;0
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;No;Si;54;1;programa de alto gobierno, escuela de gobierno, cursos de gobierno;220000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;11000000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;NULL;25;40;22;22;0
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;No;Si;54;1;programa de alto gobierno, escuela de gobierno, cursos de gobierno;440000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;22000000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;NULL;25;40;22;22;0
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;No;Si;54;1;programa de alto gobierno, escuela de gobierno, cursos de gobierno;360000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;18000000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;NULL;25;40;22;22;0
CUR-0004691;Programa de Alto Gobierno - PAG;5/04/2017;1/02/2017;No;Si;54;1;programa de alto gobierno, escuela de gobierno, cursos de gobierno;198000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;9900000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;NULL;25;40;22;22;0
CUR-0004695;Curso Vestir la revolución: cambio social e historia del traje en el siglo XIX;22/07/2017;1/05/2017;Si;No;50;11;cursos de arte, talleres de arte, historia del arte;38000.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;684000.00;Historia del Arte;Finalizado;9;15;20;7;7;0
CUR-0004696;Curso Fotografía básica: convertir lo ordinario en extraordinario;3/06/2017;1/04/2017;No;No;52;11;cursos de arte, talleres de arte, cursos artisticos.;41000.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;820000.00;Arte;Finalizado;14;14;17;16;16;1
CUR-0004697;Programa Beca Liderazgo x Bogotá 2017;21/04/2017;1/02/2017;Si;Si;54;1;programa de alto gobierno, escuela de gobierno, cursos de gobierno;6000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;1500000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;40;40;40;41;41;1
CUR-0004698;Programa Conoce y aprende. Escuela de ciencias y artes.;10/07/2017;1/05/2017;Si;Si;50;1;ciencia para niños, proyectos de ciencia para niños, experimientos de ciencia;38000.00;Niños y Jóvenes;CIENCIAS;Presencial;Finalizado;1140000.00;Ciencias;Finalizado;18;24;24;21;21;1
CUR-0004717;Escuela de verano para jóvenes 2017;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;45;70;85;NULL;0;0
CUR-0004718;"Escuela de verano para jóvenes 2017 -	Administración + Contaduría + Economía A / Ingeniería B";20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;8;8;8;3;3;0
CUR-0004719;Escuela de verano para jóvenes 2017- Administración + Contaduría + Economía A / Ciencias + Medicina;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;5;5;5;3;3;0
CUR-0004719;Escuela de verano para jóvenes 2017- Administración + Contaduría + Economía A / Ciencias + Medicina;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;31753.33;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2381500.00;Dirección de Educación Continua;Finalizado;5;5;5;3;3;0
CUR-0004720;Escuela de verano para jóvenes 2017 - Administración + Contaduría + Economía A / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;7;7;7;7;7;1
CUR-0004721;"Escuela de verano para jóvenes 2017 -	Ciencias Sociales / Ingeniería B";20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;3;3;3;NULL;0;0
CUR-0004722;Escuela de verano para jóvenes 2017- Ciencias Sociales / Ciencias + Medicina;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;3;3;3;4;4;1
CUR-0004723;Escuela de verano para jóvenes 2017 - Ciencias Sociales / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;6;6;6;10;10;1
CUR-0004724;Escuela de verano para jóvenes 2017 - Ciencias Sociales / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;10;10;10;2;2;0
CUR-0004725;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Ingeniería B;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;8;8;8;10;10;1
CUR-0004840;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Ciencias + Medicina;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;4;4;4;1;1;0
CUR-0004841;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;2;2;2;4;4;1
CUR-0004842;Escuela de verano para jóvenes 2017 - Artes y Humanidades + Diseño + Arquitectura / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;2;2;2;4;4;1
CUR-0004843;Escuela de verano para jóvenes 2017- Ingeniería A / Gobierno + Derecho + Ciencia Política;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;2;2;2;3;3;1
CUR-0004844;Escuela de verano para jóvenes 2017- Ingeniería A / Administración + Contaduría + Economía B;20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;7;7;7;6;6;0
CUR-0004845;"Escuela de verano para jóvenes 2017- 	Ingeniería A / Ciencias + Medicina";20/06/2017;1/04/2017;Si;Si;52;0;escuela de verano uniandes, escuela de verano EDCO;28866.67;Niños y Jóvenes;DIRECCION DE EDUCACION CONTINUA;Presencial;Finalizado;2165000.00;Dirección de Educación Continua;Finalizado;15;15;15;9;9;0
CUR-0004847;Cómo Publicar en Revistas Indexadas (ISI y SCOPUS) de Ciencias Sociales: Criterios, retos y habilidades;5/05/2017;1/03/2017;Si;No;54;0;cursos para docentes, cursos de pedagogia, diplomado de pedagogia;112500.00;Actualización Profesional;EDUCACION;Presencial;Finalizado;900000.00;Educación;Finalizado;1;20;20;18;18;1
CUR-0004849;Taller de acuarela: transparencias, tintas y gouache;19/08/2017;1/06/2017;Si;No;62;15;cursos de arte, talleres de arte, cursos artisticos.;52000.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1248000.00;Arte;Finalizado;12;15;20;15;15;1
CUR-0004850;Curso Música para el cine: un viaje a la luna;19/09/2017;1/07/2017;Si;No;89;18;musica en el cine, cursos de musica, taller de musica.;38000.00;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;760000.00;Música;Finalizado;12;15;20;9;9;0
CUR-0004852;Curso Apreciación del arte;12/08/2017;1/06/2017;No;No;62;15;cursos de arte, talleres de arte, historia del arte;32857.14;Arte, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;920000.00;Historia del Arte;Finalizado;9;15;20;16;16;1
CUR-0004854;Curso Actualización en los procesos de la posproducción audiovisual;10/10/2017;1/08/2017;Si;No;100;20;curso de postproduccion audiovisual, musica en el cine, taller de musica;35500.00;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;1065000.00;Música;Finalizado;11;15;20;8;8;0
CUR-0004856;Curso Indicadores y medición en la gestión de proyectos, las políticas sociales y el desempeño organizacional;28/09/2017;1/07/2017;No;No;89;1;curso gestion de proyectos, que es gestion de proyectos, gestion de proyectos;70562.50;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;Finalizado;1129000.00;Centro Interdisciplinario de Estudios sobre Desarrollo (CIDER);Finalizado;10;15;25;21;21;1
CUR-0004858;Diseño de Cursos en Modalidad Mixta o Blended;25/09/2017;1/07/2017;Si;No;89;4;cursos para docentes, cursos de pedagogia, diplomado de pedagogia;56250.00;Actualización Profesional;EDUCACION;Semipresencial / Blended;Finalizado;1350000.00;Educación;Finalizado;9;20;20;18;18;1
